constant, lambda, clicks, CTR, spend, CPM, CPC
45,1.6999999999999998e-06,82,0.060%,6250,45.47538144749958,76.21951219512195
45,1.8e-06,84,0.060%,6250,44.70576454010286,74.4047619047619
45,1.9e-06,84,0.059%,6250,43.76689402109214,74.4047619047619
45,2e-06,86,0.058%,6250,41.84268489445601,72.67441860465117
45,2.1e-06,80,0.051%,6250,39.92895839721967,78.125
45,2.2e-06,81,0.051%,6250,39.52744153100849,77.1604938271605
45,2.3e-06,85,0.054%,5932745,38001.428397568525,69797.0
45,2.4e-06,68,0.049%,4648408,33802.42442752532,68358.94117647059
45,2.4999999999999998e-06,67,0.051%,4371919,33021.035060952585,65252.522388059704
45,2.5999999999999997e-06,65,0.053%,3805013,31203.465581998,58538.661538461536
45,2.7e-06,63,0.052%,3707796,30869.488477421073,58853.90476190476
45,2.8e-06,59,0.052%,3299707,29202.23903712554,55927.23728813559
45,2.8999999999999998e-06,53,0.050%,2937259,27757.12530712531,55419.981132075474
50,1e-07,51,0.064%,6250,78.41808760241402,122.54901960784314
50,2e-07,51,0.063%,6250,77.5819265143992,122.54901960784314
50,3e-07,55,0.064%,6250,72.80309384027584,113.63636363636364
50,4e-07,59,0.063%,6250,67.22743309525858,105.9322033898305
50,5e-07,56,0.057%,6250,64.12426770086286,111.60714285714286
50,6e-07,57,0.056%,6250,60.96966149643937,109.64912280701755
50,7e-07,62,0.057%,6250,57.87090621209456,100.80645161290323
50,8e-07,63,0.056%,6250,55.432864149571174,99.2063492063492
50,9e-07,65,0.056%,6250,53.36862778584237,96.15384615384616
50,1e-06,68,0.056%,6250,51.91504207195009,91.91176470588235
50,1.1e-06,70,0.057%,6250,50.889549322151204,89.28571428571429
50,1.2e-06,72,0.057%,6250,49.712858529135715,86.80555555555556
50,1.2999999999999998e-06,75,0.059%,6250,48.866301798279906,83.33333333333333
50,1.4e-06,76,0.058%,6250,48.013397658482624,82.23684210526316
50,1.5e-06,77,0.058%,6250,47.235763140989306,81.16883116883118
50,1.6e-06,76,0.057%,6250,46.77758567782593,82.23684210526316
50,1.6999999999999998e-06,80,0.059%,6250,46.27230325016658,78.125
50,1.8e-06,82,0.059%,6250,45.033360713616645,76.21951219512195
50,1.9e-06,86,0.061%,6250,44.62468851967413,72.67441860465117
50,2e-06,83,0.058%,6250,43.65622642563773,75.3012048192771
50,2.1e-06,86,0.058%,6250,41.83512276098423,72.67441860465117
50,2.2e-06,81,0.052%,6250,39.93150947494857,77.1604938271605
50,2.3e-06,81,0.051%,6250,39.52819150618221,77.1604938271605
50,2.4e-06,85,0.055%,5911418,37974.52270216101,69546.09411764707
50,2.4999999999999998e-06,71,0.051%,4740101,34182.352474562096,66761.98591549296
50,2.5999999999999997e-06,67,0.051%,4376429,33047.61077717703,65319.835820895525
50,2.7e-06,67,0.055%,3861658,31468.251898692917,57636.68656716418
50,2.8e-06,63,0.052%,3713067,30904.881601398312,58937.57142857143
50,2.8999999999999998e-06,62,0.054%,3357813,29468.200128129745,54158.27419354839
