constant, lambda, clicks, CTR, spend, CPM, CPC
36,2.4999999999999998e-06,65,0.043%,5301.352,35288.7078307639,81559.26153846153
36,2.5999999999999997e-06,62,0.043%,4881.652,33890.47638883103,78736.32258064517
36,2.7e-06,61,0.043%,4786.322,33573.14609578856,78464.29508196721
36,2.8e-06,60,0.044%,4466.465,32614.07531270765,74441.08333333333
36,2.8999999999999998e-06,59,0.044%,4226.362,31709.923320478385,71633.25423728813
36,3e-06,59,0.045%,4139.723,31416.278363815738,70164.79661016949
36,3.1e-06,58,0.046%,3871.752,30519.639605552533,66754.3448275862
36,3.2e-06,58,0.046%,3764.269,30137.297444437325,64901.18965517241
36,3.2999999999999997e-06,57,0.048%,3406.497,28892.124100963498,59763.10526315789
36,3.3999999999999996e-06,55,0.048%,3200.07,28075.2224035374,58183.09090909091
36,3.5e-06,51,0.045%,3120.154,27747.280989604176,61179.490196078434
36,3.6e-06,48,0.044%,2994.336,27167.642015297093,62382.0
36,3.6999999999999997e-06,45,0.043%,2668.665,25733.9781296407,59303.666666666664
36,3.8e-06,44,0.043%,2578.808,25302.772817362977,58609.27272727273
36,3.9e-06,44,0.044%,2507.463,24965.03350292217,56987.795454545456
36,4e-06,44,0.044%,2500.365,24921.409349147812,56826.47727272727
36,4.1e-06,44,0.045%,2374.737,24301.691585055105,53971.295454545456
36,4.2e-06,43,0.044%,2325.984,24057.589673575774,54092.651162790695
36,4.2999999999999995e-06,43,0.045%,2319.61,24014.763280222796,53944.41860465116
36,4.4e-06,41,0.043%,2243.73,23643.097997892517,54725.12195121951
36,4.5e-06,40,0.042%,2231.632,23569.26196611888,55790.8
36,4.6e-06,40,0.043%,2171.637,23265.378929099443,54290.925
36,4.7e-06,39,0.042%,2144.646,23118.63054750073,54990.92307692308
36,4.8e-06,39,0.043%,2092.439,22868.185792349726,53652.282051282054
36,4.9e-06,39,0.043%,2024.577,22515.313612099642,51912.230769230766
37,2e-06,78,0.052%,6250.0,41971.378877315976,80128.20512820513
37,2.1e-06,79,0.051%,6250.0,40347.57010793782,79113.92405063291
37,2.2e-06,74,0.047%,6250.0,39818.04745037078,84459.45945945945
37,2.3e-06,73,0.046%,6250.0,39386.205375429316,85616.43835616438
37,2.4e-06,79,0.048%,6250.0,38316.76005738318,79113.92405063291
37,2.4999999999999998e-06,77,0.047%,6141.233,37821.06345765384,79756.27272727272
37,2.5999999999999997e-06,63,0.043%,4951.692,34123.242736644796,78598.28571428571
37,2.7e-06,62,0.043%,4847.011,33798.98470785945,78177.59677419355
37,2.8e-06,60,0.044%,4530.899,32850.93131674921,75514.98333333334
37,2.8999999999999998e-06,60,0.044%,4415.924,32452.848491974833,73598.73333333334
37,3e-06,59,0.044%,4204.442,31650.42155977115,71261.72881355933
37,3.1e-06,58,0.045%,4013.978,31035.272468608895,69206.5172413793
37,3.2e-06,58,0.046%,3801.431,30292.70061359471,65541.91379310345
37,3.2999999999999997e-06,58,0.049%,3449.461,29089.982205955523,59473.46551724138
37,3.3999999999999996e-06,57,0.048%,3392.714,28850.590156127757,59521.29824561404
37,3.5e-06,55,0.048%,3201.755,28087.541230963576,58213.72727272727
37,3.6e-06,52,0.046%,3119.338,27750.142338623587,59987.269230769234
37,3.6999999999999997e-06,48,0.044%,2954.702,27025.042988329125,61556.291666666664
37,3.8e-06,45,0.043%,2669.9,25743.901263137595,59331.11111111111
37,3.9e-06,44,0.043%,2582.173,25330.07327768023,58685.75
37,4e-06,44,0.044%,2510.067,24986.48177827329,57046.97727272727
37,4.1e-06,44,0.045%,2416.796,24527.533643209452,54927.181818181816
37,4.2e-06,44,0.045%,2377.369,24323.896539728663,54031.11363636364
37,4.2999999999999995e-06,43,0.044%,2328.416,24078.261049409528,54149.20930232558
37,4.4e-06,43,0.045%,2319.334,24022.600157434645,53938.0
37,4.5e-06,42,0.044%,2246.482,23667.109144542774,53487.666666666664
37,4.6e-06,40,0.042%,2210.992,23486.461509045133,55274.8
37,4.7e-06,40,0.043%,2175.541,23299.715118022534,54388.525
37,4.8e-06,39,0.043%,2098.629,22922.057779476818,53811.0
37,4.9e-06,39,0.043%,2087.258,22853.27318712842,53519.4358974359
38,2e-06,81,0.055%,6250.0,42126.12223989647,77160.49382716049
38,2.1e-06,78,0.052%,6250.0,41870.99713267412,80128.20512820513
38,2.2e-06,74,0.047%,6250.0,39923.34717342702,84459.45945945945
38,2.3e-06,73,0.046%,6250.0,39702.45392927246,85616.43835616438
38,2.4e-06,73,0.046%,6250.0,39280.259941048185,85616.43835616438
38,2.4999999999999998e-06,79,0.048%,6250.0,38228.871667206964,79113.92405063291
38,2.5999999999999997e-06,77,0.048%,6099.728,37731.365441476664,79217.24675324676
38,2.7e-06,63,0.043%,4947.263,34111.99751775495,78527.98412698413
38,2.8e-06,62,0.043%,4830.471,33755.20429341104,77910.82258064517
38,2.8999999999999998e-06,60,0.044%,4487.124,32712.853674717677,74785.4
38,3e-06,60,0.044%,4353.956,32244.838107651743,72565.93333333333
38,3.1e-06,59,0.045%,4170.854,31545.758455860105,70692.44067796611
38,3.2e-06,58,0.046%,3899.018,30651.9343097254,67224.44827586207
38,3.2999999999999997e-06,58,0.046%,3776.948,30208.575610458374,65119.793103448275
38,3.3999999999999996e-06,58,0.049%,3449.123,29094.73799642339,59467.637931034486
38,3.5e-06,55,0.047%,3351.781,28713.225908697626,60941.472727272725
38,3.6e-06,55,0.048%,3199.047,28086.453028972785,58164.490909090906
38,3.6999999999999997e-06,52,0.046%,3121.939,27769.081609962195,60037.28846153846
38,3.8e-06,45,0.043%,2681.885,25824.602792489168,59597.444444444445
38,3.9e-06,44,0.043%,2629.775,25572.513516667314,59767.61363636364
38,4e-06,44,0.043%,2582.365,25339.165162100635,58690.11363636364
38,4.1e-06,44,0.044%,2513.111,25011.056926751593,57116.15909090909
38,4.2e-06,44,0.045%,2387.075,24394.49991313501,54251.704545454544
38,4.2999999999999995e-06,44,0.045%,2376.75,24326.274525858982,54017.045454545456
38,4.4e-06,43,0.044%,2331.92,24108.26346314886,54230.6976744186
38,4.5e-06,42,0.044%,2284.637,23878.643770185103,54396.119047619046
