c, lambda, clicks, CTR, spend, avgCPM, avgCPC
68,2.10E-06,74,0.06%,6250,48.59879942,84.45945946
68,2.20E-06,74,0.06%,6250,48.18329697,84.45945946
68,2.30E-06,74,0.06%,6250,47.76644121,84.45945946
68,2.40E-06,74,0.06%,6250,47.33521664,84.45945946
68,2.50E-06,74,0.06%,6250,46.93213988,84.45945946
68,2.60E-06,74,0.06%,6250,46.6797619,84.45945946
68,2.70E-06,75,0.06%,6250,46.43939844,83.33333333
68,2.80E-06,76,0.06%,6250,46.08328909,82.23684211
68,2.90E-06,77,0.06%,6250,45.04764239,81.16883117
68,3.00E-06,78,0.06%,6250,44.8089704,80.12820513
68,3.10E-06,81,0.06%,6250,44.52772118,77.16049383
68,3.20E-06,80,0.06%,6250,43.81445106,78.125
68,3.30E-06,81,0.06%,6250,43.54308327,77.16049383
68,3.40E-06,82,0.06%,6250,41.88951891,76.2195122
68,3.50E-06,83,0.06%,6250,41.74821485,75.30120482
68,3.60E-06,81,0.05%,6250,40.07797571,77.16049383
68,3.70E-06,78,0.05%,6250,39.5907896,80.12820513
68,3.80E-06,78,0.05%,6250,39.37627973,80.12820513
68,3.90E-06,85,0.05%,6250,38.67646058,73.52941176
68,4.00E-06,83,0.05%,5878.983,37.66212892,70.83112048
68,4.10E-06,83,0.05%,5823.286,37.5289106,70.16007229
68,4.20E-06,67,0.05%,4605.664,33.44295911,68.74125373
68,4.30E-06,66,0.05%,4423.797,32.91785042,67.02722727
68,4.40E-06,66,0.05%,4294.633,32.52943048,65.07019697
68,4.50E-06,65,0.05%,3835.254,31.11818447,59.00390769
68,4.60E-06,63,0.05%,3723.943,30.63788493,59.11020635
68,4.70E-06,61,0.05%,3646.03,30.36662863,59.77098361
68,4.80E-06,61,0.05%,3497.251,29.83467979,57.33198361
68,4.90E-06,59,0.05%,3312.004,28.98833291,56.13566102
70,1.00E-06,63,0.06%,6250,56.95487351,99.20634921
70,1.10E-06,64,0.06%,6250,55.50079477,97.65625
70,1.20E-06,63,0.06%,6250,54.61377141,99.20634921
70,1.30E-06,63,0.05%,6250,53.65635892,99.20634921
70,1.40E-06,65,0.06%,6250,52.84339753,96.15384615
70,1.50E-06,67,0.06%,6250,52.27588284,93.28358209
70,1.60E-06,69,0.06%,6250,51.5051876,90.57971014
70,1.70E-06,69,0.06%,6250,51.10593238,90.57971014
70,1.80E-06,70,0.06%,6250,50.27995881,89.28571429
70,1.90E-06,72,0.06%,6250,49.97081704,86.80555556
70,2.00E-06,75,0.06%,6250,49.22965437,83.33333333
70,2.10E-06,74,0.06%,6250,48.79724549,84.45945946
70,2.20E-06,74,0.06%,6250,48.38734652,84.45945946
70,2.30E-06,75,0.06%,6250,48.0115535,83.33333333
70,2.40E-06,73,0.06%,6250,47.54117065,85.61643836
70,2.50E-06,74,0.06%,6250,47.23433521,84.45945946
70,2.60E-06,74,0.06%,6250,46.77898613,84.45945946
70,2.70E-06,75,0.06%,6250,46.57540372,83.33333333
70,2.80E-06,75,0.06%,6250,46.28395391,83.33333333
70,2.90E-06,76,0.06%,6250,45.95520654,82.23684211
70,3.00E-06,78,0.06%,6250,44.9200782,80.12820513
70,3.10E-06,78,0.06%,6250,44.75859007,80.12820513
70,3.20E-06,80,0.06%,6250,43.86118811,78.125
70,3.30E-06,79,0.06%,6250,43.68032987,79.11392405
70,3.40E-06,81,0.06%,6250,43.47009605,77.16049383
70,3.50E-06,83,0.06%,6250,41.7777956,75.30120482
70,3.60E-06,85,0.06%,6250,41.57713723,73.52941176
70,3.70E-06,78,0.05%,6250,39.7395628,80.12820513
70,3.80E-06,78,0.05%,6250,39.55245605,80.12820513
70,3.90E-06,80,0.05%,6250,39.30125512,78.125
70,4.00E-06,84,0.05%,6152.077,38.24134887,73.2390119
70,4.10E-06,83,0.05%,5862.022,37.62940757,70.62677108
70,4.20E-06,82,0.05%,5750.917,37.33585878,70.13313415
70,4.30E-06,67,0.05%,4577.596,33.37048296,68.32232836
70,4.40E-06,66,0.05%,4393.192,32.83353014,66.56351515
70,4.50E-06,66,0.05%,4182.131,32.18360704,63.36562121
70,4.60E-06,65,0.05%,3807.857,31.00406292,58.58241538
70,4.70E-06,61,0.05%,3679.094,30.50177833,60.31301639
70,4.80E-06,61,0.05%,3609.324,30.25798717,59.1692459
